Author,Style,Alpha,Size,Color,Marker,Label,Mineral,Rb,Sr,87Rb/86Sr,87Sr/86Sr,error,(87Sr/86Sr)i,Lambda,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-3,Sphalerite,2.439,1.428,2.069,0.716972,0.01,0.712764,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ94,Sphalerite,3.487,1.753,5.862,0.724464,0.01,0.712544,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-5,Sphalerite,4.012,1.625,7.281,0.727566,0.01,0.71277,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-6,Sphalerite,4.307,3.813,3.336,0.719333,0.01,0.712549,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-7,Sphalerite,2.521,1.902,3.908,0.720578,0.01,0.712649,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-9,Sphalerite,4.982,1.301,11.29,0.735598,0.01,0.712676,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ-52,Sphalerite,1.952,7.148,0.8056,0.714279,0.01,0.712711,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-6,Pyrite,0.1572,6.436,0.0723,0.712823,0.01,0.712634,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-7,Pyrite,0.1034,2.231,0.1367,0.712962,0.01,0.712641,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-9,Pyrite,7.367,2.942,7.384,0.727391,0.01,0.712684,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-10,Pyrite,3.891,4.106,2.861,0.718462,0.01,0.712381,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-11,Pyrite,2.954,1.983,4.396,0.721609,0.01,0.712646,1.42E-11,,,
10000569／2014／030（01）025770 ,-,0.6,10,red,o,NJ9-12,Pyrite,4.807,1.536,9.231,0.731475,0.01,0.712673,1.42E-11,,,
,,,,,,,,,,,,,,,,,
