Label,Color,Marker,Size,Width,Style,Alpha,μm,μm,Vapor ratio%,Th,Tm
SkarnQuartz1501-b8,red,o,10,1,-,0.6,2.00 ,3.00 ,25,296.20 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,3.00 ,5.00 ,25,275.50 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,6.00 ,7.00 ,10,297.10 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,3.00 ,5.00 ,15,232.30 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,3.00 ,4.00 ,10,188.30 ,-20.10 
SkarnQuartz1501-b8,red,o,10,1,-,0.6,4.00 ,7.50 ,33,350.30 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,3.40 ,4.40 ,10,265.70 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,3.00 ,6.30 ,10,291.90 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,3.50 ,8.00 ,25,237.60 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,5.00 ,9.50 ,33,330.10 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,2.70 ,6.30 ,20,318.80 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,4.90 ,8.00 ,20,215.60 ,-6.80 
SkarnQuartz1501-b8,red,o,10,1,-,0.6,5.60 ,11.40 ,25,227.80 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,6.20 ,15.10 ,20,257.90 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,3.30 ,6.10 ,10,265.70 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,4.30 ,7.40 ,25,234.70 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,5.10 ,5.30 ,25,236.80 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,6.40 ,12.60 ,50,272.20 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,3.00 ,4.60 ,10,331.10 ,
SkarnQuartz1501-b8,red,o,10,1,-,0.6,5.90 ,7.50 ,10,271.20 ,
