Label,Color,Marker,Size,Width,Style,Alpha,SiO2(wt%),TiO2(wt%),Al2O3(wt%),Fe2O3(wt%),FeO(wt%),CaO(wt%),MgO(wt%),MnO(wt%),K2O(wt%),Na2O(wt%),P2O5(wt%),La(ppm),Ce(ppm),Pr(ppm),Nd(ppm),Sm(ppm),Eu(ppm),Gd(ppm),Tb(ppm),Dy(ppm),Ho(ppm),Er(ppm),Tm(ppm),Yb(ppm),Lu(ppm),Sc(ppm),V(ppm),Cr(ppm),Co(ppm),Ni(ppm),Cu(ppm),Zn(ppm),Ga(ppm),Rb(ppm),Sr(ppm),Y(ppm),Zr(ppm),Nb(ppm),Sn(ppm),Cs(ppm),Ba(ppm),Hf(ppm),Ta(ppm),Pb(ppm),Th(ppm),U(ppm)
OIB,red,o,10,1,-,0.6,46.1,2.38,14.24,3.95,7.9,10.45,9.25,0.15,0.63,3.1,0.53,22,51,,,,,,,,,,,,,,294,346,43,218,73,,,10,554,32,228,,,,243,,,4,6,
OIB,red,o,10,1,-,0.6,45.68,2.87,13.09,,,10.12,10.84,0.18,1.13,3.38,0.65,36.3,79,9.96,40.6,8.36,2.6,7.65,1.03,5.22,0.89,2.27,0.28,1.64,0.22,20,238,363,53,260,67,123,17,19,690,27,247,56,,0.36,337,5.53,3.51,2.14,3.7,0.92
OIB,red,o,10,1,-,0.6,45.07,3.29,12.17,,,10.82,11.4,0.18,1.28,3.18,0.65,,,,,,,,,,,,,,,23,279,466,56,254,63,120,19,19,722,27,263,60,,,369,,,,3.87,0.88
OIB,red,o,10,1,-,0.6,45.5,,,,,,,,,,,,,,41.1,8.25,,,,,,,,,,,,,,,,,,28,668,,,,,,,,,1.98,4.12,1.02
OIB,red,o,10,1,-,0.6,45,3.7,12.1,7.13,6.55,10.8,8.59,0.17,1.04,2.62,0.84,,,,,,,,,,,,,,,,,269,80,225,86,124,,19,777,22,280,61,,,305,,,,,
OIB,red,o,10,1,-,0.6,45.6,3.68,10.7,4.48,8.24,11.9,10.2,0.19,0.99,2.14,0.43,,,,,,,,,,,,,,,,,473,73,230,111,95,,23,505,21,266,46,,,118,,,,,
OIB,red,o,10,1,-,0.6,47.69,3.33,11.01,,,10.73,10.95,0.272,0.3,2.03,0.38,25.2,65,,39.3,,,,,,,,,,,31,319,777,,465,99,99,19,12,463,29.1,292,32.2,,,133,,,1.77,2.39,0.65
OIB,red,o,10,1,-,0.6,47.91,4.43,12.99,,,10.15,7.13,0.165,1.204,2.88,0.549,42.7,107,,59.8,,,,,,,,,,,27,361,193,,150,138,113,23,21.8,628,36.4,430,55.7,,,210,,,2.24,4.28,1.23
OIB,red,o,10,1,-,0.6,45.17,3.75,9.54,,,9.4,14.19,0.18,0.82,1.72,0.49,90,50,15,39,,,,,,,,,,,,214,849,57,563,87,116,,0,668,33,285,38,,,296,,,,,
OIB,red,o,10,1,-,0.6,45.5,4.13,14.8,8.79,3.3,10.7,5.37,0.19,1.51,3,0.72,,,,,,,,,,,,,,,,,50,53,57,111,108,,39,1070,36,376,65,,,340,,,,,
OIB,red,o,10,1,-,0.6,46.1,3.21,15.72,3.83,7.74,9.09,7.18,0.2,1.47,3.37,0.87,,,,,,,,,,,,,,,,,,,59,49,82,17,37,516,23,245,,,,,,,8,18,
OIB,red,o,10,1,-,0.6,45.3,3.86,14.5,5.82,7.19,10.7,6.66,0.19,1.13,3.14,0.84,,,,,,,,,,,,,,,,,143,49,93,66,113,,19,825,33,307,62,,,365,,,,,
OIB,red,o,10,1,-,0.6,46.7,3,17.08,8.37,2.18,7.57,4.33,0.2,2.34,5.28,1.09,,,,,,,,,,,,,,,,,,,43,30,87,20,72,737,28,607,,,,,,,14,27,
OIB,red,o,10,1,-,0.6,,,,,,,,,,,,33,,,,,,,,,,,,,,,,612,,298,,74,,24,451,22,152,,,,269,,,,,
OIB,red,o,10,1,-,0.6,,,,,,,,,,,,99,153,,,,,,,,,,,,,,210,3,38,17,47,,,38,1123,39,448,,,,590,,,13,9,
OIB,red,o,10,1,-,0.6,,,,,,,,,,,,76,118,,,,,,,,,,,,,,245,2,30,49,30,,,26,1100,46,397,,,,468,,,6,3,
OIB,red,o,10,1,-,0.6,,,,,,,,,,,,,,,64.75,12.46,,,,,,,,,,,,,,,,,,42.89,1303,,,,,,,,,3.017,,1.622
OIB,red,o,10,1,-,0.6,,,,,,,,,,,,,,,34.28,7.22,,,,,,,,,,,,,,,,,,27.86,703.5,,,,,,,,,2.512,,1.077
OIB,red,o,10,1,-,0.6,,,,,,,,,,,,142,,,,,,,,,,,,,,,,65,,16,,98,,50,1395,39,304,,,,931,,,,,
OIB,red,o,10,1,-,0.6,,,,,,,,,,,,97,,,,,,,,,,,,,,,,237,,79,,85,,38,989,34,216,,,,666,,,,,
OIB,red,o,10,1,-,0.6,,,,,,,,,,,,113,,,,,,,,,,,,,,,,87,,40,,91,,44,1095,32,280,,,,708,,,,,
OIB,red,o,10,1,-,0.6,45.7,3.09,14.32,6.11,5.27,11.06,6.58,0.16,0.88,2.77,0.45,,,,,,,,,,,,,,,,,59,45,67,86,95,,17,549,28,212,53,,,263,,,,,
OIB,red,o,10,1,-,0.6,,,,,,,,,,,,95,,,,,,,,,,,,,,,,266,,110,,95,,20,780,30,210,,,,600,,,,,
OIB,red,o,10,1,-,0.6,,,,,,,,,,,,108,,,,,,,,,,,,,,,,262,,92,,79,,35,938,31,197,,,,652,,,,,
OIB,red,o,10,1,-,0.6,45.34,2.81,16.03,5.19,5.32,7.75,4.05,0.16,1.43,3.59,0.6,43.58,87.54,,45.65,9.03,2.64,6.92,,5.57,,2.4,,2,0.3,17,226,13,61,34,46,98,24,33.52,730.2,25,268,53,,,379,,,,13,
OIB,red,o,10,1,-,0.6,47.23,2.39,13.39,1.92,8.91,9.75,9.96,0.17,0.8,3.32,0.56,43,69,,,,,,,,,,,,,,279,534,42,320,67,,,14,578,19,194,44,,,364,,,,7,
