Shift,Strength
100,1165.3497
101.44071,1143.9921
102.88142,1156.0334
104.32213,1173.8014
105.76284,1178.8431
107.20354,1153.4425
108.64426,1166.8069
110.08497,1207.2308
111.52567,1255.3624
112.96638,1312.7283
114.40709,1431.5575
115.8478,1508.9167
117.28851,1639.1123
118.72922,1942.0963
120.16993,2540.4705
121.61064,3623.3706
123.05135,5635.8887
124.49206,7305.9644
125.93277,7607.8252
127.37347,5523.4458
128.81418,3610.1853
130.2549,2606.2644
131.6956,2105.5852
133.13631,1840.4384
134.57703,1707.5514
136.01773,1617.3651
137.45844,1591.72
138.89915,1579.6997
140.33986,1548.1406
141.78056,1570.9318
143.22128,1525.9723
144.66199,1528.9858
146.10269,1541.0609
147.54341,1487.0839
148.98412,1459.6597
150.42482,1455.9939
151.86554,1446.5687
153.30624,1421.2828
154.74695,1381.976
156.18767,1412.0499
157.62837,1435.396
159.06908,1463.0063
160.5098,1496.1947
161.9505,1517.9615
163.3912,1490.9646
164.83192,1522.6869
166.27263,1563.3048
167.71333,1577.6038
169.15404,1639.7321
170.59476,1679.1416
172.03546,1740.9559
173.47617,1817.1088
174.91689,1893.7421
176.35759,2021.7351
177.79829,2063.1755
179.23901,2113.4229
180.67972,2190.3774
182.12042,2284.2073
183.56114,2552.5691
185.00185,2783.1428
186.44255,2990.5396
187.88327,3230.0242
189.32397,3602.0461
190.76468,3845.9939
192.2054,4237.4541
193.6461,4700.2202
195.08681,5166.3286
196.52753,5578.1768
197.96823,6063.4028
199.40894,6467.6548
200.84966,6822.1191
202.29036,7108.7759
203.73106,7129.4717
205.17178,6909.2983
206.61249,6629.9863
208.05319,6259.3262
209.49391,5804.7998
210.93462,5542.5537
212.37532,5051.519
213.81604,4567.1455
215.25674,4173.5171
216.69745,3889.0264
218.13815,3526.4648
219.57887,3316.1074
221.01958,3145.6377
222.46028,2943.1721
223.901,2672.6135
225.34171,2564.0776
226.78241,2409.2896
228.22313,2278.4817
229.66383,2184.7383
231.10454,2114.2136
232.54526,2030.4161
233.98596,1964.8199
235.42667,1902.2473
236.86739,1829.2911
238.30809,1736.8611
239.74879,1721.3529
241.18951,1677.4763
242.63022,1659.5958
244.07092,1674.5022
245.51164,1695.0173
246.95235,1680.2141
248.39305,1665.6095
249.83377,1635.6337
251.27448,1622.1019
252.71518,1694.6268
254.1559,1694.6218
