Label,Color,Marker,Size,Width,Style,Alpha,SiO2(wt%),TiO2(wt%),Al2O3(wt%),Fe2O3(wt%),FeO(wt%),CaO(wt%),MgO(wt%),MnO(wt%),K2O(wt%),Na2O(wt%),P2O5(wt%),La(ppm),Ce(ppm),Pr(ppm),Nd(ppm),Sm(ppm),Eu(ppm),Gd(ppm),Tb(ppm),Dy(ppm),Ho(ppm),Er(ppm),Tm(ppm),Yb(ppm),Lu(ppm),Sc(ppm),V(ppm),Cr(ppm),Co(ppm),Ni(ppm),Cu(ppm),Zn(ppm),Ga(ppm),Rb(ppm),Sr(ppm),Y(ppm),Zr(ppm),Nb(ppm),Sn(ppm),Cs(ppm),Ba(ppm),Hf(ppm),Ta(ppm),Pb(ppm),Th(ppm),U(ppm)
OIB,red,o,10,1,-,0.6,46.1,2.38,14.24,3.95,7.9,10.45,9.25,0.15,0.63,3.1,0.53,22,51,0,0,0,0,0,0,0,0,0,0,0,0,0,294,346,43,218,73,0,0,10,554,32,228,0,0,0,243,0,0,4,6,0
OIB,red,o,10,1,-,0.6,45.68,2.87,13.09,0,0,10.12,10.84,0.18,1.13,3.38,0.65,36.3,79,9.96,40.6,8.36,2.6,7.65,1.03,5.22,0.89,2.27,0.28,1.64,0.22,20,238,363,53,260,67,123,17,19,690,27,247,56,0,0.36,337,5.53,3.51,2.14,3.7,0.92
OIB,red,o,10,1,-,0.6,45.07,3.29,12.17,0,0,10.82,11.4,0.18,1.28,3.18,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,279,466,56,254,63,120,19,19,722,27,263,60,0,0,369,0,0,0,3.87,0.88
OIB,red,o,10,1,-,0.6,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,668,0,0,0,0,0,0,0,0,1.98,4.12,1.02
OIB,red,o,10,1,-,0.6,45,3.7,12.1,7.13,6.55,10.8,8.59,0.17,1.04,2.62,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,80,225,86,124,0,19,777,22,280,61,0,0,305,0,0,0,0,0
OIB,red,o,10,1,-,0.6,45.6,3.68,10.7,4.48,8.24,11.9,10.2,0.19,0.99,2.14,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,73,230,111,95,0,23,505,21,266,46,0,0,118,0,0,0,0,0
OIB,red,o,10,1,-,0.6,47.69,3.33,11.01,0,0,10.73,10.95,0.272,0.3,2.03,0.38,25.2,65,0,39.3,0,0,0,0,0,0,0,0,0,0,31,319,777,0,465,99,99,19,12,463,29.1,292,32.2,0,0,133,0,0,1.77,2.39,0.65
OIB,red,o,10,1,-,0.6,47.91,4.43,12.99,0,0,10.15,7.13,0.165,1.204,2.88,0.549,42.7,107,0,59.8,0,0,0,0,0,0,0,0,0,0,27,361,193,0,150,138,113,23,21.8,628,36.4,430,55.7,0,0,210,0,0,2.24,4.28,1.23
OIB,red,o,10,1,-,0.6,45.17,3.75,9.54,0,0,9.4,14.19,0.18,0.82,1.72,0.49,90,50,15,39,0,0,0,0,0,0,0,0,0,0,0,214,849,57,563,87,116,0,0,668,33,285,38,0,0,296,0,0,0,0,0
OIB,red,o,10,1,-,0.6,45.5,4.13,14.8,8.79,3.3,10.7,5.37,0.19,1.51,3,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,53,57,111,108,0,39,1070,36,376,65,0,0,340,0,0,0,0,0
OIB,red,o,10,1,-,0.6,46.1,3.21,15.72,3.83,7.74,9.09,7.18,0.2,1.47,3.37,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,49,82,17,37,516,23,245,0,0,0,0,0,0,8,18,0
OIB,red,o,10,1,-,0.6,45.3,3.86,14.5,5.82,7.19,10.7,6.66,0.19,1.13,3.14,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,49,93,66,113,0,19,825,33,307,62,0,0,365,0,0,0,0,0
OIB,red,o,10,1,-,0.6,46.7,3,17.08,8.37,2.18,7.57,4.33,0.2,2.34,5.28,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,30,87,20,72,737,28,607,0,0,0,0,0,0,14,27,0
OIB,red,o,10,1,-,0.6,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,298,0,74,0,24,451,22,152,0,0,0,269,0,0,0,0,0
OIB,red,o,10,1,-,0.6,0,0,0,0,0,0,0,0,0,0,0,99,153,0,0,0,0,0,0,0,0,0,0,0,0,0,210,3,38,17,47,0,0,38,1123,39,448,0,0,0,590,0,0,13,9,0
