References,Q,F,L,Qm,Lt,Label,,Marker,Color,Size,Alpha,Style,Width,﻿Suites
"Hubert and Neal, 1967",87,11,2,79,10,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Western subprovince, western North Atlantic Quaternary"
"Campbell and Clark, 1977",89,8,3,69,23,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Pleistocene Turbidites, Canada basin, Arctic Ocean"
"Potter and Pryor, 1961",98,2,0,95,3,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Cretaceous-Tertiary deposits, middle Mississippi Valley"
"Potter and Pryor, 1961;",96,2,2,95,3,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Carboniferous units, Eastern Interior Coal Basin"
"Siever, 1957 Potter and Pryor, 1961",99,1,0,99,0,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Mid-Paleozoic formations, Illinois-Michigan basins"
"McLane, 1971, 1972",100,0,0,100,0,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Southwestern Montana Paleozoic, platform-miogeocline hinge"
"Morris, 1974",88,8,4,88,4,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Prc-Carboniferous Paleozoic units, Ouachita Mountains"
"Potter and Pryor, 1961",90,10,0,89,1,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Cambrian units, Upper Mississippi Valley region"
"Lobo and Osborne, 1976",94,6,0,89,5,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Mojave Desert Precambiran and Cambrian, southern California"
"Schwab, 1971",93,6,1,88,6,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Precambrian or Cambrian Harpers Formation, central Virginia"
"Schwab, 1970",94,6,0,90,4,A. Craton Interior Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,o,green,50,0.6,-,0.4,"Precambrian or Cambrian Antietam Formation, central Virginia"
"Cleary and Conolly, 1974",76,18,6,73,9,Tranistional between suites A & B,I. CONTINENTAL BLOCK PROVENANCES    ,d,blue,50,0.6,--,0.5,"Transitional between suites A & B  Deep-sea turbidite sands,  Hatteras abyssal plain"
"Hubert and Neal, 1967",78,20,2,68,12,Tranistional between suites A & B,I. CONTINENTAL BLOCK PROVENANCES    ,d,blue,50,0.6,--,0.5,"Eastern subprovince, western North Atlantic Quaternary"
"Higgs, 1978",72,23,5,71,6,Tranistional between suites A & B,I. CONTINENTAL BLOCK PROVENANCES    ,d,blue,50,0.6,--,0.5,"Mesozoic-Cenozoic sediments, Labrador-Greenland margins"
"Cadigan, 1971",72,23,5,67,10,Tranistional between suites A & B,I. CONTINENTAL BLOCK PROVENANCES    ,d,blue,50,0.6,--,0.5,"Middle Triassic Moenkopi Formation, Colorado Plateau"
"Suczek, 1977",75,24,1,75,1,Tranistional between suites A & B,I. CONTINENTAL BLOCK PROVENANCES    ,d,blue,50,0.6,--,0.5,"Cambrian Harmony Formation, north-central Nevada"
"Suczek, 1977",72,27,1,71,2,Tranistional between suites A & B,I. CONTINENTAL BLOCK PROVENANCES    ,d,blue,50,0.6,--,0.5,Southeastern Idaho Paleozoic B. Uplifted Basement Provenance
"Van de Kamp et al, 1976",46,47,7,45,8,B. Uplifted Basement Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,D,c,50,0.6,--,1.5,"Salton Basin, Holocenc alluvium, southern California"
"Hayes, 1973",37,55,8,29,16,B. Uplifted Basement Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,D,c,50,0.6,--,2.5,"Indurated Neogene turbidites, Gulf of Alaska seafloor"
"Graham, 1976",56,39,5,55,6,B. Uplifted Basement Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,D,c,50,0.6,--,3.5,"Salinian Block Tertiary, California Coast Ranges"
"Van de Kamp et al, 1976",50,47,3,47,6,B. Uplifted Basement Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,D,c,50,0.6,--,4.5,"Santa Ynez Range Paleogene, California Transverse Ranges"
"Helmold, 1979",35,56,9,33,11,B. Uplifted Basement Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,D,c,50,0.6,--,5.5,"Santa Ynez Range Paleogene, California Transverse Ranges"
"Lee-Wong and Howell, 1977",49,43,8,41,16,B. Uplifted Basement Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,D,c,50,0.6,--,6.5,"Salinian Block Cretaceous, California Coast Ranges"
"Boggs, 1966",61,38,1,55,7,B. Uplifted Basement Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,D,c,50,0.6,--,7.5,"Pennsylvanian Minturn Formation, central Colorado"
"Schwab,1974",71,26,3,48,26,B. Uplifted Basement Provenance,I. CONTINENTAL BLOCK PROVENANCES    ,D,c,50,0.6,--,8.5,"Precambrian Mechum River Formation, Virginia Blue Ridge"
"Enkeboll, 1979",1,43,56,1,56,C. Undissectcd Arc Provenance,II. MAGMATIC ARC PROVENANCES ,s,red,50,0.6,--,0.5,"Volcaniclastic trench sands, Guatemala, Central America"
"Harrold and Moore, 1973",13,15,72,12,73,C. Undissectcd Arc Provenance,II. MAGMATIC ARC PROVENANCES ,s,red,50,0.6,--,0.5,"Marginal seafloor Neogene, Philippine and Japan Seas"
"Stewart, 1978",7,34,59,3,63,C. Undissectcd Arc Provenance,II. MAGMATIC ARC PROVENANCES ,s,red,50,0.6,--,0.5,"Atka Basin Neogene, Aleutian Ridge, Alaska"
"Skinner, 1972",9,21,70,9,70,C. Undissectcd Arc Provenance,II. MAGMATIC ARC PROVENANCES ,s,red,50,0.6,--,0.5,"Mesozoic Mochau Formation Coromandel Peninsula, N.Z. No. Is."
"Tennyson and Cole, 1978;",5,30,65,5,65,C. Undissectcd Arc Provenance,II. MAGMATIC ARC PROVENANCES ,s,red,50,0.6,--,0.5,"Jurassic Methow-Pasaytcn sequence, Washington-Canada"
"Dickinson et al, 1979",3,32,65,1,67,C. Undissectcd Arc Provenance,II. MAGMATIC ARC PROVENANCES ,s,red,50,0.6,--,0.5,"Lower-Middle Jurassic units, central Oregon"
"Boles, 1974",3,25,72,3,72,C. Undissectcd Arc Provenance,II. MAGMATIC ARC PROVENANCES ,s,red,50,0.6,--,1.5,"Triassic North Range Beds, Southland, N.Z. So. Is."
