Name,Strike,Dip,Dip-Angle,Marker,Color,Size,Alpha,Style,Width,Label
Sample1,3,93,75,^,blue,50,0.6,:,0.5,Group2
Sample2,4,94,73,^,blue,50,0.6,:,0.5,Group2
Sample3,5,95,72,^,blue,50,0.6,:,0.5,Group2
Sample4,6,96,71,^,blue,50,0.6,:,0.5,Group2
Sample5,3,273,76,^,blue,50,0.6,:,0.5,Group2
Sample6,5,275,85,^,blue,50,0.6,:,0.5,Group2
Sample7,5,275,87,^,blue,50,0.6,:,0.5,Group2
Sample8,5,275,75,^,blue,50,0.6,:,0.5,Group2
Sample9,5,275,79,^,blue,50,0.6,:,0.5,Group2
Sample10,6,276,78,^,blue,50,0.6,:,0.5,Group2
Sample11,6,276,84,^,blue,50,0.6,:,0.5,Group2
Sample12,7,277,80,^,blue,50,0.6,:,0.5,Group2
Sample13,16,106,71,^,blue,50,0.6,:,0.5,Group2
Sample14,14,284,71,^,blue,50,0.6,:,0.5,Group2
Sample15,14,284,71,^,blue,50,0.6,:,0.5,Group2
Sample16,14,284,75,^,blue,50,0.6,:,0.5,Group2
Sample17,16,286,75,^,blue,50,0.6,:,0.5,Group2
Sample18,21,111,73,^,blue,50,0.6,:,0.5,Group2
Sample19,21,111,74,^,blue,50,0.6,:,0.5,Group2
Sample20,22,112,75,^,blue,50,0.6,:,0.5,Group2
Sample21,23,113,80,^,blue,50,0.6,:,0.5,Group2
Sample22,23,113,78,^,blue,50,0.6,:,0.5,Group2
Sample23,23,113,74,^,blue,50,0.6,:,0.5,Group2
Sample24,33,123,75,^,blue,50,0.6,:,0.5,Group2
Sample25,34,124,74,^,blue,50,0.6,:,0.5,Group2
Sample26,34,124,73,^,blue,50,0.6,:,0.5,Group2
Sample27,34,124,72,^,blue,50,0.6,:,0.5,Group2
Sample28,35,125,75,^,blue,50,0.6,:,0.5,Group2
Sample29,36,126,72,^,blue,50,0.6,:,0.5,Group2
Sample30,34,304,75,^,blue,50,0.6,:,0.5,Group2
Sample31,34,304,72,^,blue,50,0.6,:,0.5,Group2
Sample32,35,305,72,^,blue,50,0.6,:,0.5,Group2
Sample33,35,305,74,^,blue,50,0.6,:,0.5,Group2
Sample34,35,305,72,^,blue,50,0.6,:,0.5,Group2
Sample35,36,306,74,^,blue,50,0.6,:,0.5,Group2
Sample36,36,126,74,^,blue,50,0.6,:,0.5,Group2
Sample37,44,134,75,^,blue,50,0.6,:,0.5,Group2
Sample38,44,134,84,^,blue,50,0.6,:,0.5,Group2
Sample39,45,135,80,^,blue,50,0.6,:,0.5,Group2
Sample40,45,135,85,^,blue,50,0.6,:,0.5,Group2
Sample41,46,136,85,^,blue,50,0.6,:,0.5,Group2
Sample42,46,136,83,^,blue,50,0.6,:,0.5,Group2
Sample43,46,136,83,^,blue,50,0.6,:,0.5,Group2
Sample44,46,136,86,^,blue,50,0.6,:,0.5,Group2
Sample45,46,136,81,^,blue,50,0.6,:,0.5,Group2
Sample46,46,136,82,^,blue,50,0.6,:,0.5,Group2
Sample47,46,136,78,^,blue,50,0.6,:,0.5,Group2
Sample48,46,136,82,^,blue,50,0.6,:,0.5,Group2
Sample49,47,137,84,^,blue,50,0.6,:,0.5,Group2
Sample50,47,137,80,^,blue,50,0.6,:,0.5,Group2
Sample51,47,137,85,^,blue,50,0.6,:,0.5,Group2
Sample52,48,138,76,^,blue,50,0.6,:,0.5,Group2
Sample53,47,317,76,^,blue,50,0.6,:,0.5,Group2
Sample54,45,315,78,^,blue,50,0.6,:,0.5,Group2
Sample55,45,315,80,^,blue,50,0.6,:,0.5,Group2
Sample56,46,316,76,^,blue,50,0.6,:,0.5,Group2
Sample57,46,316,74,^,blue,50,0.6,:,0.5,Group2
Sample58,281,371,72,s,red,50,0.6,--,0.5,Group1
Sample59,282,372,73,s,red,50,0.6,--,0.5,Group1
Sample60,285,195,75,s,red,50,0.6,--,0.5,Group1
Sample61,292,22,70,s,red,50,0.6,--,0.5,Group1
Sample62,293,23,70,s,red,50,0.6,--,0.5,Group1
Sample63,294,24,79,s,red,50,0.6,--,0.5,Group1
Sample64,295,25,75,s,red,50,0.6,--,0.5,Group1
Sample65,294,204,75,s,red,50,0.6,--,0.5,Group1
Sample66,296,206,72,s,red,50,0.6,--,0.5,Group1
Sample67,306,36,74,s,red,50,0.6,--,0.5,Group1
Sample68,307,37,71,s,red,50,0.6,--,0.5,Group1
Sample69,305,35,75,s,red,50,0.6,--,0.5,Group1
Sample70,304,214,78,s,red,50,0.6,--,0.5,Group1
Sample71,305,215,78,s,red,50,0.6,--,0.5,Group1
Sample72,306,216,80,s,red,50,0.6,--,0.5,Group1
Sample73,301,211,77,s,red,50,0.6,--,0.5,Group1
Sample74,302,212,73,s,red,50,0.6,--,0.5,Group1
Sample75,302,212,70,s,red,50,0.6,--,0.5,Group1
Sample76,304,214,80,s,red,50,0.6,--,0.5,Group1
Sample77,313,43,75,s,red,50,0.6,--,0.5,Group1
Sample78,313,223,74,s,red,50,0.6,--,0.5,Group1
Sample79,314,44,79,s,red,50,0.6,--,0.5,Group1
Sample80,315,45,83,s,red,50,0.6,--,0.5,Group1
Sample81,315,45,87,s,red,50,0.6,--,0.5,Group1
Sample82,315,45,80,s,red,50,0.6,--,0.5,Group1
Sample83,316,46,86,s,red,50,0.6,--,0.5,Group1
Sample84,319,49,80,s,red,50,0.6,--,0.5,Group1
Sample85,312,222,73,s,red,50,0.6,--,0.5,Group1
Sample86,314,224,80,s,red,50,0.6,--,0.5,Group1
Sample87,314,224,75,s,red,50,0.6,--,0.5,Group1
Sample88,314,224,78,s,red,50,0.6,--,0.5,Group1
Sample89,314,224,78,s,red,50,0.6,--,0.5,Group1
Sample90,316,226,78,s,red,50,0.6,--,0.5,Group1
Sample91,316,226,79,s,red,50,0.6,--,0.5,Group1
Sample92,317,227,75,s,red,50,0.6,--,0.5,Group1
Sample93,321,51,71,s,red,50,0.6,--,0.5,Group1
Sample94,324,54,71,s,red,50,0.6,--,0.5,Group1
Sample95,325,55,73,s,red,50,0.6,--,0.5,Group1
Sample96,325,55,75,s,red,50,0.6,--,0.5,Group1
Sample97,325,55,75,s,red,50,0.6,--,0.5,Group1
Sample98,325,55,78,s,red,50,0.6,--,0.5,Group1
Sample99,326,56,77,s,red,50,0.6,--,0.5,Group1
Sample100,329,59,74,s,red,50,0.6,--,0.5,Group1
Sample101,327,237,75,s,red,50,0.6,--,0.5,Group1
Sample102,329,239,74,s,red,50,0.6,--,0.5,Group1
