	,Time	,2016-01-08 15:24:31	,2016-01-08 15:28:25	,2016-01-08 15:32:23	,2016-01-08 15:36:18	,2016-01-08 15:40:06	,2016-01-08 15:43:50	,2016-01-08 15:47:37	,2016-01-08 15:51:19	,2016-01-08 15:55:04	,2016-01-08 15:58:48	,2016-01-08 16:02:33	,2016-01-08 16:06:16	,2016-01-08 16:10:00	,2016-01-08 16:13:45	,2016-01-08 16:17:32	,2016-01-08 16:21:14	,2016-01-08 16:25:00	,2016-01-08 16:28:45	,2016-01-08 16:32:31	,2016-01-08 16:36:16	,
	,Type	,QC	,Sample1	,Sample2	,Sample3	,QC	,Sample4	,Sample5	,Sample6	,Sample7	,QC	,Sample8	,Sample9	,Sample10	,Sample11	,QC	,Sample12	,Sample13	,Sample14	,Sample15	,QC	,
6  Li  [ No Gas ] 	,Tested	,14.009994782	,8.25927962829	,4.17209670635	,9.60554207966	,13.8114021278	,55.8457296089	,34.1993469266	,0.0114095713528	,8.68977271256	,13.9827571765	,3.85339930738	,8.93046769635	,49.9593994101	,29.3265358399	,12.4132337919	,0.0182549035267	,7.04438446035	,3.2723837802	,8.52219092466	,12.3607953445	,
	,Real	,14.009994782	,8.43663246207	,4.28726198969	,9.83012290079	,14.009994782	,56.1050605773	,34.088528217	,0.0113291987161	,8.64102257925	,14.009994782	,3.91552652647	,9.25800125218	,53.12151073	,32.1042428817	,14.009994782	,0.0211746252621	,8.34040480463	,3.90232895841	,10.03558319	,14.009994782	,
7  Li  [ No Gas ] 	,Tested	,13.1634821609	,7.71247506794	,3.83353082175	,9.06911517927	,13.0530119871	,53.5403379255	,31.7926512978	,0.027732926363	,7.90086848306	,13.1467985138	,3.84309086321	,7.72283242392	,46.1132080866	,26.7717108175	,11.2653549131	,0.0231623803849	,6.5718560139	,3.24664460133	,7.77548327528	,10.977920837	,
	,Real	,13.1634821609	,7.8733884038	,3.93052395506	,9.24229089612	,13.1634821609	,53.4214397929	,31.4689296011	,0.0273705844742	,7.8251872964	,13.1634821609	,3.92057558384	,8.08560982795	,49.8776902034	,30.0637307236	,13.1634821609	,0.0280710292102	,8.19779137275	,4.10320690228	,9.72182213253	,13.1634821609	,
9  Be  [ No Gas ] 	,Tested	,0.853610190229	,1.84541204004	,0.87398834601	,1.84883818985	,0.822375347208	,2.06589234345	,1.2777105939	,0.00067846075303	,1.74627411807	,0.878045769501	,0.881871348028	,1.64242890904	,1.87315327963	,1.20410890866	,0.780960539513	,0.00305368406438	,1.50253002025	,0.812949314281	,1.63871281482	,0.759911767924	,
	,Real	,0.853610190229	,1.92648661805	,0.926468673641	,1.95018076032	,0.853610190229	,2.10140328318	,1.27400110172	,0.000666144191541	,1.69916384784	,0.853610190229	,0.864228833424	,1.63678792098	,1.91391457629	,1.26987563635	,0.853610190229	,0.00345494803839	,1.7493105057	,0.959975500203	,1.91748539767	,0.853610190229	,
11  B  [ No Gas ] 	,Tested	,4.05362331683	,4.83047599564	,3.16518771137	,6.45281904615	,3.77497837395	,20.1214804925	,2.98214866724	,0.902360187194	,4.68403239884	,3.9772250361	,2.90659045189	,5.03363562101	,17.2825311532	,3.17700281971	,4.11250802024	,1.3686159444	,4.81561175667	,3.41056928397	,6.90954612639	,4.01778554593	,
	,Real	,4.05362331683	,5.00968555347	,3.35847409831	,6.92007582993	,4.05362331683	,21.4960612957	,3.15544882312	,0.943542747035	,4.8346700845	,4.05362331683	,2.92879547654	,5.02485878575	,17.1327704705	,3.13608257921	,4.05362331683	,1.35065239038	,4.76948174649	,3.39620453657	,6.9254286366	,4.05362331683	,
45  Sc  [ He ] 	,Tested	,8.34075761323	,30.2781471422	,29.6888478657	,12.4575357986	,8.16125200908	,5.43342285095	,9.04220995297	,0.00407305031422	,31.6529873484	,8.16028895488	,29.3196378247	,11.3244905762	,5.00553543886	,8.44235098056	,7.39110920959	,0.006110949954	,27.6098599605	,26.4034565752	,11.4891658973	,7.55838008533	,
	,Real	,8.34075761323	,30.8856777068	,30.5121080115	,12.7927346135	,8.34075761323	,5.52191937216	,9.15057213244	,0.00411735851323	,32.0970167671	,8.34075761323	,30.360030922	,11.9332181597	,5.38807582103	,9.30435351311	,8.34075761323	,0.00703449693196	,32.1930127425	,30.8037305136	,13.179928246	,8.34075761323	,
47  Ti  [ He ] 	,Tested	,3242.62484467	,12427.2487609	,15272.8367924	,5467.73451252	,3338.20997198	,1459.58143442	,3630.76471016	,0.139469318258	,12664.6336036	,3381.65700218	,15544.7752663	,4888.13838754	,1342.92497195	,3313.2044652	,3019.69083195	,0.999566720306	,11374.0948422	,14037.4672245	,4952.86616682	,2978.90446008	,
	,Real	,3242.62484467	,12461.985002	,15210.1189967	,5380.45810811	,3242.62484467	,1401.74397117	,3458.44593986	,0.13239771335	,12047.2499527	,3242.62484467	,15116.108285	,4846.45125547	,1363.93235201	,3458.19197226	,3242.62484467	,1.10107980685	,12776.4895254	,15896.2482809	,5559.68937227	,3242.62484467	,
51  V  [ He ] 	,Tested	,82.8837918283	,423.882929681	,327.154485307	,112.801586793	,86.4729288155	,12.71112949	,51.7947319717	,0.161739611709	,432.750976164	,84.9985156384	,332.989516396	,102.959236002	,11.2645443792	,46.8877873883	,76.035196914	,0.0774926751761	,383.432913683	,299.409708498	,100.838819201	,74.9897497257	,
	,Real	,82.8837918283	,419.501091761	,319.886726096	,109.06224266	,82.8837918283	,12.1194508655	,49.3210108188	,0.154508443022	,416.703038273	,82.8837918283	,330.289908312	,104.256985342	,11.6787606223	,49.8508067793	,82.8837918283	,0.086315880138	,434.006442788	,341.125105942	,114.116194714	,82.8837918283	,
52  Cr  [ He ] 	,Tested	,13.7462536006	,13.6989630284	,284.120511663	,14.1549287433	,13.8173754918	,2.50772298679	,18.6472604604	,0.0	,13.7891427037	,13.9646960272	,286.990090722	,12.7679473346	,2.78632809385	,16.6056145533	,12.6052756492	,0.0	,12.4741100739	,256.43968689	,12.4537422486	,12.3904101401	,
	,Real	,13.7462536006	,13.8492461779	,287.22425542	,14.2135677562	,13.7462536006	,2.47239165212	,18.257771325	,0.0	,13.4806750954	,13.7462536006	,286.008530673	,12.9467225415	,2.88746658583	,17.6419186421	,13.7462536006	,0.0	,14.1913300706	,294.21159483	,14.1920483711	,13.7462536006	,
53  Cr  [ He ] 	,Tested	,13.6456435086	,13.8356006649	,267.924522485	,13.8129421236	,13.7300644929	,2.41965564663	,18.8271358434	,0.0	,14.0091239618	,13.5055826199	,267.939842121	,13.0909058502	,2.91528373282	,16.6629714674	,12.9823816537	,0.0	,12.2070265398	,239.626726695	,12.4020454256	,12.0531317951	,
	,Real	,13.6456435086	,13.7845798698	,266.357211455	,13.7217924325	,13.6456435086	,2.40833536783	,18.785281102	,0.0	,14.0832330074	,13.6456435086	,272.330331591	,13.3959743577	,3.00651108247	,17.3375188852	,13.6456435086	,0.0	,13.1443286953	,261.819503694	,13.7781757693	,13.6456435086	,
55  Mn  [ He ] 	,Tested	,367.725979104	,1457.85106622	,1259.99148578	,734.390845696	,377.268270615	,249.622960342	,313.179356517	,0.0033268951471	,1491.0912522	,378.113407204	,1282.50517753	,684.375738015	,226.200575708	,287.258456617	,350.422756809	,0.0713122412851	,1340.72234026	,1154.99866832	,674.066926184	,342.715169269	,
	,Real	,367.725979104	,1454.2426032	,1248.48725913	,721.595645998	,367.725979104	,241.745730674	,302.070720815	,0.00320614592229	,1440.84971951	,367.725979104	,1259.96802519	,681.381378056	,228.866168514	,295.905085128	,367.725979104	,0.0761038585035	,1450.41846272	,1258.77651806	,733.36912429	,367.725979104	,
59  Co  [ He ] 	,Tested	,8.14406151927	,33.9730065543	,40.3097609416	,14.2116135097	,8.24551658754	,1.85236378845	,6.75738426111	,0.0	,34.1412800823	,8.18264181126	,40.3992574478	,12.8280602864	,1.69072247208	,6.05940530678	,7.48307658721	,0.00238971594232	,30.1423043681	,35.7152320801	,12.9902642301	,7.40952369332	,
	,Real	,8.14406151927	,34.0529445025	,40.2809776976	,14.1205662783	,8.14406151927	,1.82110702092	,6.62838330626	,0.0	,33.6840231507	,8.14406151927	,40.7240205	,13.1413684563	,1.76517803574	,6.4584745816	,8.14406151927	,0.002648729542	,33.8697557145	,40.3530873036	,14.5863625174	,8.14406151927	,
60  Ni  [ He ] 	,Tested	,8.13871037986	,10.5554508743	,106.948734439	,16.3733579653	,8.36588147053	,1.71832538132	,14.8103038097	,0.0	,10.5417582277	,8.29065599901	,107.560456144	,14.5143237216	,1.78223197134	,13.4015218771	,7.66140908932	,0.000383595559152	,9.53705082956	,95.413056164	,14.9666269976	,7.30937436408	,
	,Real	,8.13871037986	,10.490096397	,105.469586983	,16.0258998179	,8.13871037986	,1.66501963022	,14.3305672302	,0.0	,10.2655162541	,8.13871037986	,106.7860119	,14.6133249101	,1.8241545072	,13.9684288183	,8.13871037986	,0.000414871284562	,10.4808112821	,106.085234544	,16.7273264761	,8.13871037986	,
63  Cu  [ He ] 	,Tested	,15.5172530706	,14.687990999	,115.120866602	,44.351837242	,15.6401410734	,8.60575744605	,40.3389228398	,0.0	,14.6774217658	,15.6060744667	,116.638441198	,39.6218456366	,7.60459770655	,34.4177922751	,14.3169618362	,0.0	,12.7770142143	,102.757710079	,39.7853513886	,14.0533811533	,
	,Real	,15.5172530706	,14.7616805752	,115.518554189	,44.2747656754	,15.5172530706	,8.49283343398	,39.6790864807	,0.0	,14.4850571511	,15.5172530706	,117.32293156	,40.4625746303	,7.9089903347	,36.5302772316	,15.5172530706	,0.0	,14.3229584227	,116.031941636	,44.7524859188	,15.5172530706	,
66  Zn  [ He ] 	,Tested	,48.0507430178	,127.020123539	,97.3637214856	,86.3421288993	,48.5393618613	,31.4556038475	,112.886529454	,0.0	,126.913055228	,48.1055037787	,96.4782170579	,78.0404422062	,28.8174923301	,104.063954062	,44.1660186819	,0.0	,114.277583014	,86.7212934381	,75.8193793391	,43.263305584	,
	,Real	,48.0507430178	,127.317933342	,97.3478180096	,85.9082792463	,48.0507430178	,31.0185688954	,111.130642489	,0.0	,125.701675441	,48.0507430178	,97.5458883696	,80.1222163021	,30.1246331363	,110.956453988	,48.0507430178	,0.0	,128.421123911	,98.1694586198	,85.5854994578	,48.0507430178	,
71  Ga  [ He ] 	,Tested	,13.01172698	,21.2600324928	,20.4623083275	,20.3917034877	,12.9360710194	,16.0756318612	,38.2229731611	,0.0	,21.307538724	,12.9499275359	,20.2889288912	,18.3821534965	,14.7554977669	,35.6933561808	,11.8677970456	,0.00160018603949	,19.1408482836	,18.2839037661	,18.8310602324	,11.7232351442	,
	,Real	,13.01172698	,21.5100075867	,20.7578358312	,20.6231879013	,13.01172698	,16.0808215687	,38.0837599087	,0.0	,21.2636115567	,13.01172698	,20.6150014802	,18.9618162722	,15.5054798113	,38.2980401016	,13.01172698	,0.00178871033709	,21.7175010797	,20.8795278762	,21.3755266203	,13.01172698	,
72  Ge  [ He ] 	,Tested	,5.34625877972	,4.03036892794	,3.89075274137	,3.42052971025	,5.42205782811	,2.48147831262	,12.2615425296	,0.594145485246	,5.59256088217	,5.43965376919	,4.17249063727	,13.5689169124	,4.74641193111	,10.9428830783	,5.06384574473	,0.0476944332309	,3.89207304953	,3.76185744921	,3.13715637397	,4.76181303483	,
	,Real	,5.34625877972	,4.03542761219	,3.88259501905	,3.39373652253	,5.34625877972	,2.43364470479	,11.9808100875	,0.579873654807	,5.46828963218	,5.34625877972	,4.13631827924	,13.6112653705	,4.83240510019	,11.335647601	,5.34625877972	,0.0513151542608	,4.26350241194	,4.18172960389	,3.51923328371	,5.34625877972	,
75  As  [ He ] 	,Tested	,24.8470479185	,33.0174633352	,32.3534361077	,33.6207071986	,24.6840214941	,35.9294088048	,39.5188605533	,18.4875367106	,39.5689072896	,25.4121438126	,42.865762663	,37.2721031327	,39.2698632864	,43.2460255324	,22.9741925222	,17.0800427717	,34.4894265736	,33.4223993266	,35.8866023964	,22.4996529308	,
	,Real	,24.8470479185	,33.6843626461	,33.1468826495	,34.2288550178	,24.8470479185	,35.7193831473	,38.8571127493	,18.0481119702	,38.5439837817	,24.8470479185	,42.3368827032	,37.4076243154	,40.2679253462	,45.4944149158	,24.8470479185	,18.9553716482	,39.0804599695	,38.2518361151	,40.7996014977	,24.8470479185	,
78  Se  [ He ] 	,Tested	,2.29794974228	,3.01453901925	,2.93214797468	,2.16839104773	,2.05236323014	,1.73599639676	,7.56655828211	,0.0	,3.12991313513	,1.43839694981	,2.67740467402	,1.62777601508	,1.42052638384	,4.75281694683	,1.66647764873	,0.0	,2.50624394648	,2.63511313089	,1.54626911643	,1.54368439266	,
	,Real	,2.29794974228	,2.93193028163	,2.90605620209	,2.26187457819	,2.29794974228	,2.10916950612	,10.0236632625	,0.0	,4.79265632942	,2.29794974228	,4.33964785938	,2.60219305426	,2.18763158442	,6.94398234193	,2.29794974228	,0.0	,3.17763328381	,3.32998177259	,2.04197930413	,2.29794974228	,
85  Rb  [ He ] 	,Tested	,60.4477667894	,41.0546713514	,8.16399822913	,57.9779667799	,60.1457275307	,133.412348487	,217.517943329	,0.024464948165	,41.3592002802	,59.9687388175	,8.19038659089	,54.5477430638	,124.330714108	,201.224326734	,55.7425232855	,0.0489328040764	,37.1371288897	,7.25784097794	,52.0367655226	,54.3465125351	,
	,Real	,60.4477667894	,41.4115570029	,8.2520520131	,58.4848099327	,60.4477667894	,133.59715687	,217.307549834	,0.0244397644671	,41.4347343179	,60.4477667894	,8.33510929157	,56.2182136474	,130.12614658	,214.287147734	,60.4477667894	,0.0539582208091	,41.5225623275	,8.18033696418	,58.609660723	,60.4477667894	,
