Label,Color,Marker,Size,Width,Style,Alpha,Age(ma),SiO2,TiO2,Ti,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,K,P,LOI(wt%),Total(wt%),Mg#,Li(ppm),Be(ppm),Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl(ppm),Pb,Th,U
Zhang SH2016,red,o,10,1,-,0.6,890,48.17,2.56,15343.17819,13.01,14.47,5.51,0.21,5.26,8.35,1.88,0.72,0.23,5977.063994,1003.767536,5.05,99.91,41.9,15.0,0.85,37.4,368.0,117.0,45.2,69.4,53.5,100.0,19.4,18.4,357,29.7,130.0,12.6,0.83,188.0,11.4,28.2,3.95,18.4,5.08,1.79,5.24,0.88,5.58,1.1,2.96,0.44,2.68,0.39,3.38,0.77,0.06,3.17,1.85,0.41
Zhang SH2016,red,o,10,1,-,0.6,920,50.56,2.25,13485.21521,13.42,12.71,9.11,0.19,5.37,10.14,2.44,0.77,0.24,6392.137883,1047.409603,1.89,99.97,45.6,19.6,1.0,43.2,357.0,49.0,43.7,39.2,32.8,96.8,21.8,21.5,305,36.1,157.0,13.5,0.49,171.0,14.0,34.9,4.83,22.3,5.8,1.97,6.49,1.08,6.54,1.28,3.56,0.51,3.11,0.47,4.05,0.84,0.063,2.22,2.26,0.46
Zhang SH2016,red,o,10,1,-,0.6,920,47.44,3.83,22954.83299,11.8,18.19,7.83,0.24,4.7,8.52,2.29,0.73,0.3,6060.078772,1309.262004,1.95,99.99,33.9,24.1,1.09,39.1,546.0,1.4,48.3,16.8,43.8,125.0,22.4,19.0,219,38.0,173.0,16.3,1.11,116.0,16.3,38.2,5.25,24.2,6.47,2.33,7.01,1.16,6.87,1.4,3.85,0.56,3.33,0.5,4.47,0.98,0.097,2.62,2.36,0.52
Zhang SH2016,red,o,10,1,-,0.6,920,49.15,4.23,25352.20459,11.9,16.67,5.47,0.21,3.5,6.95,2.59,1.38,0.57,11456.03932,2487.597808,2.81,99.96,29.4,24.0,1.82,32.6,424.0,7.83,39.3,21.3,32.0,197.0,22.6,46.0,336,50.3,261.0,28.5,1.53,401.0,32.5,68.3,9.25,40.6,9.84,3.22,10.2,1.57,9.47,1.82,4.97,0.7,4.37,0.63,6.56,1.69,0.22,14.1,5.55,1.23
Zhang SH2016,red,o,10,1,-,0.6,920,47.92,4.05,24273.38737,12.16,17.43,8.95,0.19,3.82,5.98,3.04,0.71,0.42,5894.049217,1832.966806,4.25,99.96,30.3,22.3,1.33,32.5,406.0,42.3,40.4,36.3,26.1,109.0,21.9,28.5,432,45.8,223.0,23.4,1.23,161.0,22.1,48.9,6.9,30.9,7.69,2.73,8.42,1.38,8.42,1.65,4.61,0.65,3.96,0.58,5.76,1.32,0.13,1.48,3.63,0.78
Zhang SH2016,red,o,10,1,-,0.6,920,54.77,2.17,13005.74089,12.34,14.3,2.15,0.14,1.26,2.92,2.57,1.91,0.79,15855.82254,3447.723277,6.78,99.94,14.9,17.2,2.56,18.3,45.9,0.56,16.9,0.51,7.09,138.0,25.0,62.1,198,65.4,424.0,31.5,1.88,377.0,41.9,88.2,12.3,53.6,12.5,3.78,13.1,2.1,12.6,2.47,6.57,0.93,5.81,0.85,10.6,1.68,0.25,7.1,9.91,1.98
Zhang SH2016,red,o,10,1,-,0.6,920,50.93,3.71,22235.62152,11.98,17.01,10.39,0.24,3.27,6.28,2.75,0.84,0.42,6973.241327,1832.966806,2.58,100.0,27.6,20.2,1.47,35.8,254.0,0.53,37.8,0.76,5.83,137.0,24.2,21.2,199,52.6,256.0,26.3,1.12,138.0,24.8,57.2,7.78,35.4,9.27,3.05,10.0,1.59,9.94,1.95,5.3,0.78,4.66,0.69,6.65,1.49,0.086,1.3,3.57,0.76
Zhang SH2016,red,o,10,1,-,0.6,920,49.73,3.19,19119.03845,12.37,14.79,11.0,0.2,5.37,8.55,2.85,0.81,0.32,6724.196994,1396.546138,1.78,99.95,41.8,18.8,1.37,31.9,340.0,52.4,48.6,49.4,150.0,232.0,18.5,15.8,285,34.2,215.0,28.4,0.62,186.0,24.3,55.1,7.15,30.9,7.12,2.08,6.97,1.11,6.64,1.27,3.33,0.47,2.85,0.41,5.44,1.65,0.072,4.54,3.91,0.91
Zhang SH2016,red,o,10,1,-,0.6,910,45.62,4.06,24333.32166,13.14,16.9,5.01,0.21,4.97,9.52,2.46,1.37,0.29,11373.02454,1265.619937,1.44,99.98,36.8,15.5,0.95,43.9,692.0,18.1,52.7,48.6,223.0,141.0,23.0,47.6,359,30.3,150.0,23.3,1.94,326.0,20.2,44.3,5.69,24.6,5.85,2.13,5.9,0.97,5.73,1.1,3.01,0.43,2.66,0.39,3.77,1.31,0.17,4.91,2.06,0.44
Zhang SH2016,red,o,10,1,-,0.6,890,47.52,1.6,9589.486368,14.38,11.38,4.84,0.16,6.71,10.56,2.22,0.71,0.14,5894.049217,610.9889352,4.57,99.95,53.9,27.2,0.43,39.9,289.0,239.0,49.1,101.0,78.0,72.2,16.8,38.8,485,20.9,70.6,5.9,1.22,351.0,7.04,16.5,2.45,11.3,3.1,1.33,3.6,0.59,3.66,0.76,2.05,0.31,1.86,0.27,1.91,0.37,0.12,1.15,0.64,0.15
